factor,label,exp1_score,rank_icir,rank_ic_mean,ret_diff,win_diff,monotonicity,rank_ic_positive_ratio
ret_std_up_ma2,s,6.772886977765843,12.720408092362508,0.0812829729181178,0.006432844,0.0803426834995553,ascending,0.6966618287373004
ret_std_up_ma3,s,6.726087121630116,12.93826204974938,0.0795574314090118,0.006164593,0.0710374194738328,ascending,0.6939597315436242
vwap_ret_ma1,s,6.538935021194447,11.337786623558236,0.0575727807386874,0.0053371764,0.0838997303119935,ascending,0.6535677352637022
ret_std_up_ma5,s,6.362004343461235,12.587626698247275,0.0746584378961052,0.004552645,0.0475700236237344,ascending,0.6883780332056194
vwap_ret_ma5,s,5.9036691135803805,10.54494965749558,0.0557353952366,0.006164434,0.0944192649936082,ascending,0.6353305785123967
cora1_ma1,s,5.799759330553597,9.9269776631871,0.0459582252334563,0.0052037453,0.0583804428197901,ascending,0.6339193381592555
cora_ma1,s,5.554737442048072,9.152003879915704,0.043536978085421,0.0052072,0.0684011166855454,ascending,0.6091003102378489
cora1_ma5,s,5.342779330262124,8.94750979390929,0.0438946346269002,0.006045051,0.0718371667932808,weak_ascending,0.628099173553719
vwap_ret_ma3,s,5.3361577450670605,9.547991325323991,0.0510070820383415,0.005326267,0.0805769440118395,ascending,0.6373966942148761
vwap_ret_ma10,s,5.285560533871816,9.58794724401692,0.0500176258097287,0.0050802063,0.0774301497034225,weak_ascending,0.6435950413223142
vwap_ret_ma2,s,5.251765887631935,9.26975470151758,0.0487931467155793,0.004610291,0.077710627579108,ascending,0.6177685950413223
mean_ret_ma1,s,5.121564282169434,10.376525289668368,0.0587073427213963,0.0020642402,0.0490317571562419,none,0.6452947259565668
cora_ma5,s,5.073236939379167,8.378794084671876,0.0424434536009989,0.0060938587,0.0819048723136727,ascending,0.6033057851239669
ret_std_up_ma10,s,5.07010722335035,10.14103005129672,0.057061283997998,0.0033866218,0.0279229967062873,ascending,0.6497584541062802
range_ma1,s,5.006339732049497,8.919129468890409,0.0411911843663462,0.0029980252,0.0184136700765794,none,0.6194415718717684
vwap_twap_ma1,b,5.002903165594355,9.291695821573578,0.0461156029330362,0.0032412591,0.022558492379875,inverted_u,0.6184074457083765
cora1_ma10,s,4.920836401082759,8.169203424211796,0.0395961598910017,0.0061546112,0.0665236206527908,ascending,0.6208677685950414
amt_r_1430_ma60,s,4.874855523305659,8.371514096735119,0.0437184382005521,0.0037889106,0.0563168859304402,ascending,0.634297520661157
cora_ma10,s,4.79653859613001,8.042448467219344,0.0406315381384739,0.0054336484,0.0709285451683999,ascending,0.6167355371900827
vwap_ret_ma20,s,4.695405505238135,8.684582964985209,0.044442695137138,0.0037358953,0.0583436358840254,u_shape,0.628099173553719
