factor,valid_count,valid_ratio,data_quality,ic_mean,ic_std,ic_ir,ic_t_stat,ic_p_value,ic_count,rankic_mean,rankic_std,rankic_ir,rankic_t_stat,rankic_p_value,rankic_count,ic_positive_ratio,ic_negative_ratio,ic_abs_mean,ic_volatility,monthly_ic_std,rankic_positive_ratio,rankic_negative_ratio,rankic_abs_mean,rankic_volatility,long_short_ret,long_short_win,ls_t_stat,ls_p_value,monotonicity,mono_strength,g0_ret,g0_win,g0_count,g1_ret,g1_win,g1_count,g2_ret,g2_win,g2_count,g3_ret,g3_win,g3_count,g4_ret,g4_win,g4_count,decile_mono,decile_mono_strength,top_decile_ret,bottom_decile_ret,top_decile_win,bottom_decile_win,overall_mean_ret,overall_std_ret,overall_sharpe,non_st_ratio,direction,ic_ir_norm,rankic_ir_norm,rankic_abs_mean_norm,long_short_ret_norm,long_short_win_norm,monotonicity_score_norm,stability_score_norm,comprehensive_score
turnover,71513,1.0,good,0.0141232460737228,0.1881378591060638,0.0750686004757881,-2.3367928858417204,0.0196529173869735,970.0,0.0440619582568739,0.172299842880082,0.2557283716592844,-7.960508342391983,4.772506962406176e-15,970.0,0.5381443298969072,0.5381443298969072,0.1458978056907653,0.1881378591060638,0.0474001094698905,0.6164948453608248,0.6164948453608248,0.1402694234160303,0.172299842880082,0.0047097713686525,0.061634170004739,6.404070467443991,1.5402961930445316e-10,strict_ascending,1.0,0.000449001789093,0.4433790593505039,14362.0,0.0019886456429958,0.4684678378945895,14287.0,0.0018730813171714,0.4682044450676575,14263.0,0.0013182093389332,0.4592328652274156,14313.0,0.0051587731577456,0.505013229355243,14288.0,none,0.0,-0.0072504766285419,0.0013444954529404,-0.5271821828745331,-0.4265939597315436,0.0021604564972221,0.058630172163248,0.03684888407588,0.8336666060716234,sell,0.6251572624306999,0.6936971447451463,0.6772717944953576,0.8264438609256715,0.7577683354207918,0.46412403909317274,0.6072874478130275,0.662410091723403
r_pc_925_ma1,71464,0.9993148098947044,good,0.02582866884768,0.1840514093637466,0.1403339952230453,4.3684237939924815,1.3862796969413334e-05,970.0,0.0001349393085768,0.1603040447700456,0.0008417710780187,0.0262032939304863,0.9791005837782144,970.0,0.5587628865979382,0.4412371134020618,0.1472309380769729,0.1840514093637466,0.0534410513937473,0.5072164948453608,0.4927835051546392,0.127826993421379,0.1603040447700456,0.0034474972635507,0.021932364731882,4.573383607409549,4.8192528861213884e-06,ascending,0.7769689804145893,0.0001136455466621,0.4573567480584902,14293.0,0.0024169997777789,0.4683313824944726,15378.0,0.0020661912858486,0.4615734080411903,13207.0,0.0025693210773169,0.4771232685042675,14294.0,0.0035611428320407,0.4792891127903722,14292.0,none,0.0,0.0064409235492348,-0.0012898967834189,0.4947530432349237,0.454036658737932,0.0021507730707526,0.0586326420307159,0.0366821773350238,0.8336924885256912,buy,0.7541702289289484,0.313755568536646,0.47897349268550216,0.6754990939518362,0.4638651731285736,0.2884879851520987,0.2591093110668916,0.470117122839363
r_pc_925_ma2,71511,0.9999720330569268,good,0.0334988348186016,0.187789112329483,0.178385391831398,5.552916818827836,3.6279027694987935e-08,970.0,0.002450322132288,0.1575782655148676,0.0155498737359615,0.4840483627025422,0.6284609222582198,970.0,0.5896907216494846,0.4103092783505154,0.1531112641096115,0.187789112329483,0.0555181019008159,0.511340206185567,0.488659793814433,0.1236592534941214,0.1575782655148676,0.0023713666014373,0.0140166547268184,3.138512384079124,0.0016998035348157,none,0.0,0.0012863758020102,0.4661959029574215,14303.0,0.0022422289475798,0.4616836806041113,14302.0,0.0017314073629677,0.4655292966018738,14302.0,0.0018856273964047,0.470843238707873,14302.0,0.0036577424034476,0.48021255768424,14302.0,none,0.0,0.0061611547134816,0.0016322281444445,0.4881834708432387,0.4728747203579418,0.0021606641821563,0.0586283281445503,0.0368535853922367,0.8336619541049629,buy,0.829388092466827,0.33567990545412757,0.4125511177703462,0.5468136591721962,0.4052670266138893,0.0,0.3967611325711778,0.43265001553975074
r_pc_925_ma3,71511,0.9999720330569268,good,0.0369688682258129,0.1886975616216659,0.1959159821271896,6.098622706073489,1.543681804063511e-09,970.0,0.0019509107163535,0.1556066465049299,0.0125374510676302,0.3902753658838238,0.6964187120094343,970.0,0.5865979381443299,0.4134020618556701,0.1550676822662353,0.1886975616216659,0.0568191073834896,0.5092783505154639,0.490721649484536,0.1241130745034494,0.1556066465049299,0.0020149457268416,0.0070948099101303,2.6499267738557672,0.0080553516771598,none,0.0,0.0016329371137544,0.4699713346850311,14303.0,0.0016746609471738,0.4607047965319535,14302.0,0.0019728925544768,0.4669277024192421,14302.0,0.0018749849405139,0.4697944343448468,14302.0,0.0036478827241808,0.4770661445951615,14302.0,none,0.0,0.0061661563813686,0.0023799510672688,0.4872045867710809,0.479586129753915,0.0021606641821563,0.0586283281445503,0.0368535853922367,0.8336619541049629,buy,0.8640415787022799,0.3311894982918762,0.41978378337618555,0.5041922779341491,0.35402623122589066,0.0,0.37651821764407695,0.4252781660593534
r_pc_925_ma5,71511,0.9999720330569268,good,0.0364820025861263,0.1901125758886337,0.191896840929985,5.973511830956437,3.257470860252946e-09,970.0,-0.0019076461069201,0.1564298318809645,-0.0121948996811026,-0.3796121643295435,0.7043165075693134,970.0,0.5814432989690722,0.4185567010309278,0.1563677936792373,0.1901125758886337,0.0596144795417785,0.4948453608247423,0.5051546391752577,0.123142629214439,0.1564298318809645,0.0011869810987263,-0.0024837615342937,1.5668281415332033,0.1171659516647979,none,0.0,0.002535187639296,0.4772425365307977,14303.0,0.0015840859850868,0.4660886589288211,14302.0,0.0013482572976499,0.4604950356593483,14302.0,0.0016135952901095,0.4658788980562159,14302.0,0.0037221687380224,0.474758774996504,14302.0,none,0.0,0.0056356480345129,0.0027954662218689,0.4839882533911341,0.4850391498881432,0.0021606641821563,0.0586283281445503,0.0368535853922367,0.8336619541049629,buy,0.856096766131473,0.2943227179064592,0.4043175398134039,0.4051829365016375,0.28311831108446556,0.0,0.3198380558481946,0.3860889868620912
r_pc_925_ma10,71511,0.9999720330569268,good,0.0369043014943599,0.1884600520133972,0.1958202868700027,6.0956438002247255,1.5716237473231463e-09,970.0,-0.002540992639528,0.1521252412258902,-0.0167032940690952,-0.519952913005739,0.6032151536596635,970.0,0.588659793814433,0.411340206185567,0.1542149782180786,0.1884600520133972,0.0526537001132965,0.4731958762886598,0.5268041237113402,0.120934486401424,0.1521252412258902,0.0008662908803671,-0.0056295928912451,1.1477757161087978,0.2510708428227441,u_shape,0.0134238731116056,0.0031999705825001,0.4855624694120115,14303.0,0.0015405698213726,0.4607047965319535,14302.0,0.0005151959485374,0.4602153544958747,14302.0,0.0014812510926276,0.458047825478954,14302.0,0.0040662614628672,0.4799328765207663,14302.0,none,0.0,0.0068222172558307,0.0041624270379543,0.4960145434205006,0.5002796420581656,0.0021606641821563,0.0586283281445503,0.0368535853922367,0.8336619541049629,buy,0.8638524136929009,0.28760237063815575,0.36912578304541394,0.3668342845841414,0.2598304586180152,0.0018691026626497882,0.3481781367461358,0.37923373217382356
r_pc_925_ma20,71511,0.9999720330569268,good,0.0342796891927719,0.1889137327671051,0.181456834077835,5.648527188935484,2.1262692183988332e-08,970.0,-0.0058898918906821,0.1548265639452025,-0.0380418691767048,-1.184196399392156,0.2366257162572447,970.0,0.5649484536082474,0.4350515463917526,0.1546879112720489,0.1889137327671051,0.0515852905809879,0.4618556701030928,0.5371134020618556,0.1234294808379072,0.1548265639452025,0.0003365736920386,-0.0046508505857401,0.4524810393007135,0.6509259479703395,u_shape,0.0120611079037189,0.0031172381713986,0.4835349227434803,14303.0,0.0019887713715434,0.4676968256187945,14302.0,0.0007050166022963,0.4533631659907705,14302.0,0.0015384162543341,0.4609844776954272,14302.0,0.0034538118634372,0.4788840721577402,14302.0,none,0.0,0.0050070183351635,0.0046615833416581,0.4940567752761851,0.5001398210290827,0.0021606641821563,0.0586283281445503,0.0368535853922367,0.8336619541049629,buy,0.8354595469822773,0.25579445354114155,0.4088891701002205,0.30348985152391306,0.2670758585861057,0.0016793550348637816,0.25506072808147146,0.3494740209373261
r_pc_925_ma60,71511,0.9999720330569268,good,0.0330611653625965,0.1909042745828628,0.1731819063425064,5.390938815162838,8.805913088781384e-08,970.0,-0.0058669660724023,0.1581016482999087,-0.0371088229344271,-1.1551518223384003,0.2483130270052075,970.0,0.5701030927835051,0.4298969072164949,0.1575386077165603,0.1909042745828628,0.0480230562388896,0.4876288659793814,0.5123711340206185,0.1245928038304642,0.1581016482999087,0.00081652472727,0.0055572527902683,1.1275071668353736,0.2595377905784898,none,0.0,0.0028865071944892,0.4798294064182339,14303.0,0.0014102983986958,0.462662564676269,14302.0,0.0015911913942545,0.4635715284575584,14302.0,0.0012122415937483,0.4530135645364285,14302.0,0.0037030319217592,0.4853866592085023,14302.0,none,0.0,0.0058372695930302,0.0034982129000127,0.5010488043630261,0.4893736017897092,0.0021606641821563,0.0586283281445503,0.0368535853922367,0.8336619541049629,buy,0.8191021346226709,0.2571852801250341,0.427429356702,0.36088316798271186,0.3426440561175637,0.0,0.2753036430085723,0.36541545990091306
r_925_1500_ma1,71464,0.9993148098947044,good,-0.0028953945729881,0.1816378533840179,-0.0159404799342155,0.4962074740954861,0.6198605711813392,970.0,0.0338504473157507,0.1716735784069249,0.1971791328046628,-6.1379428549618575,1.2173339011346122e-09,970.0,0.4783505154639175,0.4783505154639175,0.1398424655199051,0.1816378533840179,0.0451474674046039,0.5824742268041236,0.5824742268041238,0.1374965343721468,0.1716735784069249,0.0029107085429131,0.0391800181907227,3.837819427301202,0.0001244226522376,strict_ascending,1.0,0.0009916761191561,0.4499405303295319,14293.0,0.0024653119035065,0.4817043307912964,14293.0,0.0020449664443731,0.4689336691855583,14292.0,0.0013495207531377,0.4544882110123837,14293.0,0.0039023847784847,0.4891205485202546,14293.0,none,0.0,-0.0047720042057335,-0.0019398918375372,-0.4917459429210968,-0.4555757660556877,0.0021507730707526,0.0586326420307159,0.0366821773350238,0.8336924885256912,sell,0.445255624090182,0.6064219013800467,0.6330795274907913,0.6113090356884678,0.591545510554923,0.46412403909317274,0.3238866388336143,0.5251687526936873
r_925_1500_ma2,71511,0.9999720330569268,good,-0.0135828936472535,0.1891001760959625,-0.0718290880322456,2.235950787657366,0.0255820037856654,970.0,0.0314010477527325,0.1728719097310767,0.1816434364702787,-5.654335817258954,2.0578264505126684e-08,970.0,0.4587628865979382,0.4587628865979381,0.1465354412794113,0.1891001760959625,0.0479629300534725,0.5701030927835051,0.5701030927835051,0.1391656880687105,0.1728719097310767,0.0012940620072185,0.0233193678188896,1.702357654795409,0.0887000423084753,none,0.0,0.0024851548951119,0.4630820864214795,14303.0,0.0024500777944922,0.4810542505592841,14304.0,0.0013474030420184,0.4615384615384615,14300.0,0.0007412011036649,0.4523842819186128,14302.0,0.0037792169023305,0.4864014542403692,14302.0,none,0.0,-0.0049344818107783,-0.003224906977266,-0.4928691275167785,-0.4652496154384002,0.0021606641821563,0.0586283281445503,0.0368535853922367,0.8336619541049629,sell,0.33477816276312994,0.5832639286214882,0.6596812719756314,0.41798784370394293,0.47413283200652645,0.0,0.2753036430085723,0.3833975023638809
