factor,direction,comprehensive_score,rankic_ir,ic_ir,long_short_ret,monotonicity,mono_strength,rankic_positive_ratio
ret_std_up_ma2,sell,0.8957702258425759,0.4612138933219127,0.1078325361013412,0.0058883866295218,strict_ascending,1.0,0.6814432989690722
ret_std_up_ma1,sell,0.8955602280566894,0.4351415359362494,0.1133969575166702,0.0061586233787238,strict_ascending,1.0,0.6742268041237114
ret_std_up_ma3,sell,0.8673104673545294,0.4519010463479875,0.0845988020300865,0.0056681083515286,strict_ascending,1.0,0.6804123711340206
cora1_ma1,sell,0.8188406778368664,0.318744534182114,0.2137535363435745,0.0051649464294314,strict_ascending,1.0,0.6329896907216495
ret_std_down_ma1,sell,0.8178276649037062,0.3344301302850946,0.1581070274114608,0.0047669829800724,strict_ascending,1.0,0.6391752577319588
vwap_ret_ma1,sell,0.8157038407936199,0.3622132145416255,0.0782718285918235,0.0052961655892431,strict_ascending,1.0,0.6525773195876289
amt_r_1430_ma60,sell,0.8101579822468348,0.2682083191649916,0.2393961250782013,0.0037928456440567,strict_ascending,1.0,0.6340206185567011
cora_ma1,sell,0.7989213634582879,0.2941377192091107,0.1874936521053314,0.0051662176847457,strict_ascending,1.0,0.6082474226804124
ret_std_up_ma5,sell,0.7786554628955302,0.4216221022811742,0.0581323765218257,0.0041075567714869,strict_ascending,1.0,0.6680412371134021
cora_ma5,sell,0.7740557306691949,0.2655283640833178,0.0954727604985237,0.006099390797317,strict_ascending,1.0,0.6020618556701032
cora1_ma5,sell,0.7710732209127573,0.2829687324508761,0.1184301897883415,0.0060462104156613,ascending,0.8748349603006785,0.6268041237113402
vwap_ret_ma5,sell,0.7596350660635608,0.335806694879804,-0.0195394363254308,0.0061611328274011,strict_ascending,1.0,0.6340206185567011
cora1_ma10,sell,0.7539154873945897,0.2615519076806555,0.0771290063858032,0.0061516044661402,strict_ascending,1.0,0.6206185567010309
cora_ma10,sell,0.746069769409929,0.2539948577098076,0.0631419420242309,0.0054474091157317,strict_ascending,1.0,0.6154639175257732
cora1_ma3,sell,0.7381133759134115,0.2324250144930084,0.1077090129256248,0.0057091061025857,strict_ascending,1.0,0.5814432989690722
